Model,MAE,RMSE,R2,MAPE
LinearRegression,61704.17123887935,100712.43233095077,0.42890031045320853,51.11665667432895
Ridge,61692.9945099839,100666.4524527123,0.42942165820213973,51.12746115056702
Lasso,61615.72079286343,100656.34151008654,0.42953627027027785,51.17100230828052
RandomForest,44426.18159585154,80216.35398061169,0.6376972827855141,34.55112927864937
GradientBoosting,38886.63474863633,69406.21924349251,0.7287669985082402,29.83912321251823
XGBoost,35472.888114289315,67336.63512204087,0.7447013164736931,26.80233675436655
LightGBM,34482.54330937677,65400.23020146264,0.7591734809348126,26.25691960510343
XGBoost_Optuna,34878.224754284274,68555.59633689237,0.7353745678460692,25.948252333069888
LightGBM_Optuna,37298.18373886478,68547.12816167678,0.735439938326234,28.419554556785243
RandomForest_Optuna,37953.915020207256,72122.34169750698,0.7071229154914859,28.71656138028042
