Model,Hiperparàmetre,Valor
XGBoost,n_estimators,935.0
XGBoost,max_depth,9.0
XGBoost,learning_rate,0.020038260312712834
XGBoost,subsample,0.6001560963638785
XGBoost,colsample_bytree,0.7770145802474594
XGBoost,reg_alpha,0.09069604622569756
XGBoost,reg_lambda,0.02995407474876587
XGBoost,min_child_weight,4.0
XGBoost,gamma,0.013265467620297065
LightGBM,n_estimators,635.0
LightGBM,num_leaves,44.0
LightGBM,learning_rate,0.021887310770856355
LightGBM,subsample,0.9724631470429347
LightGBM,colsample_bytree,0.6044364499017281
LightGBM,reg_alpha,0.006398510845017164
LightGBM,reg_lambda,0.005843107804900692
LightGBM,min_child_samples,14.0
RandomForest,n_estimators,415.0
RandomForest,max_depth,20.0
RandomForest,min_samples_leaf,1.0
RandomForest,min_samples_split,2.0
RandomForest,max_features,0.8
