,count,mean,std,min,25%,50%,75%,max
Habitaciones,500.0,-0.00013616105129876587,0.03134702967796102,-0.10846252097413697,-0.00956150438473596,-0.0011544703362578468,0.010210795135153588,0.21676451304731906
Aseos,500.0,-0.0009824596019191124,0.19317311323518332,-0.3123861711586012,-0.1702983495856862,-0.1324771791345453,0.16924722759598693,0.5225861727623676
Terraza,500.0,0.0010140648080337396,0.009907247143159796,-0.03436584768199807,-0.004104864255053994,0.0011542097951599017,0.0062913678893623615,0.07217823766151
Piscina,500.0,-0.002229349236127451,0.04122972078841557,-0.05417063962123797,-0.017935958415693315,-0.011940227833839103,-0.007535208596872688,0.2793934522209008
Garaje,500.0,-0.000840992188412846,0.014209760929962649,-0.020097592091800773,-0.0042428206096829235,-0.0028947810274535914,-0.001911307482793658,0.19013065076707633
Metros,500.0,0.0005841457984382776,0.1814882496217171,-0.6891341422210139,-0.10794671507873649,-0.008166455487584608,0.08829081281539439,0.5754570628483001
Latitud,500.0,0.0008530876180571396,0.020671899599132796,-0.16569984427614573,-0.0012302942439902712,0.00012734829196800143,0.001391615833996801,0.16242881784451121
Longitud,500.0,0.04233513314718516,0.1921046688734457,-0.8539007438194509,0.08806504324479235,0.11731585583285539,0.13447175138801604,0.29679099501608863
Anyo,500.0,0.0006771510104258223,0.00634038243501589,-0.017431302352063197,-0.0017166998764934441,-0.00019105738462869354,0.0015179825386999533,0.06445666820062095
Mes,500.0,0.002555138808819752,0.017029485039703664,-0.09289715590182507,-0.007547474401649576,0.0010116936137419506,0.01143742659247561,0.07152972752081133
Hab_per_m2,500.0,-0.004449436972600587,0.05961662319091814,-0.24721562011398548,-0.03270339776601458,-0.0010342516963570613,0.03310995715975555,0.1728957836112963
Serveis,500.0,0.0022403523031322985,0.08138976189616583,-0.1502376767893711,-0.06372886063531663,-0.04299447807218528,0.06913083859920702,0.32919405197662416
Inmueble_enc,500.0,-0.005091669961382175,0.05114779657945457,-0.11797086022259015,-0.03612207348869079,-0.018745457644948567,0.018888066932196655,0.26110988466993373
NPRO_enc,500.0,0.012445794429977794,0.2656258086522632,-0.7309008270596127,-0.22217389286063077,0.13992275587302394,0.2340888930448334,0.3852327791393741
NMUN_enc,500.0,-0.030915081272597376,0.1766697983120191,-0.5498548564764288,-0.14834954647560356,-0.051607783524289415,0.058290013724333546,0.5370122152473819
