,count,mean,std,min,25%,50%,75%,max
Habitaciones,500.0,-0.0016991649754345417,0.022957902401685715,-0.09199492633342743,-0.009909372311085463,-0.00010529354767641053,0.009384890319779515,0.05881982296705246
Aseos,500.0,0.00830611027777195,0.19537654519081116,-0.334902822971344,-0.18113455176353455,-0.05862174369394779,0.1918364278972149,0.4763559103012085
Terraza,500.0,0.0033407993614673615,0.02366359904408455,-0.049117907881736755,-0.014221110381186008,-0.005430174525827169,0.022479803301393986,0.08254297077655792
Piscina,500.0,-0.00205669435672462,0.03495913743972778,-0.04369745030999184,-0.01658726017922163,-0.00937784044072032,-0.007077514077536762,0.18960684537887573
Garaje,500.0,-0.0008022600668482482,0.020188357681035995,-0.015883326530456543,-0.007211477495729923,-0.0058264764957129955,-0.00429417728446424,0.1279977560043335
Metros,500.0,-0.0040733348578214645,0.17943838238716125,-0.743259847164154,-0.09964533150196075,-0.018153327517211437,0.09908784553408623,0.5727811455726624
Latitud,500.0,-0.009674224071204662,0.10643097013235092,-0.3120160400867462,-0.06966768577694893,-0.006181661039590836,0.047401816584169865,0.6164799928665161
Longitud,500.0,0.019103817641735077,0.331262469291687,-0.6956946849822998,-0.2406669296324253,-0.0636146292090416,0.30666178464889526,0.7030842900276184
Anyo,500.0,-0.000886686728335917,0.014127100817859173,-0.11585836112499237,0.001501252205343917,0.002583925030194223,0.003753602097276598,0.01075347512960434
Mes,500.0,9.685051190899685e-05,0.015251250006258488,-0.08695734292268753,-0.004632276250049472,-0.0005487449234351516,0.0051724729128181934,0.09710079431533813
Hab_per_m2,500.0,-0.006222687661647797,0.0753793716430664,-0.3605658710002899,-0.029173926915973425,0.010942472144961357,0.038473338820040226,0.18054839968681335
Serveis,500.0,0.007384730502963066,0.09577137976884842,-0.1837969869375229,-0.07114552333950996,-0.037541862577199936,0.0747333187609911,0.36682072281837463
Inmueble_enc,500.0,-0.0034586957190185785,0.06377550959587097,-0.11498658359050751,-0.04656730405986309,-0.029556168243288994,0.03912077937275171,0.22314468026161194
NPRO_enc,500.0,0.003198083257302642,0.13106252253055573,-0.13513612747192383,-0.07046794518828392,-0.05577865242958069,-0.02615448087453842,0.39630839228630066
NMUN_enc,500.0,-0.00338376103900373,0.0673946887254715,-0.300232470035553,-0.042265597730875015,-0.004945774795487523,0.025552163366228342,0.17272044718265533
